World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank,In Arena,PVP Premium,PVP Free,Insurance 50%,Insurance 80%,Insurance 100%,Date,Exp Points,Exp to Up,% to Up
15,877,2138612337,Pluma,226,warrior,246, , ,78,58,No rank,No rank,No rank,0,0,42.772.247,106.930.617,213.861.234,106.930.617,42.772.247,0,2024-01-19,2.138.612.337,16582423,43.1
32,878,2138256826,Naysilla,226,wizard,279,Solo Army, ,70,22,No rank,No rank,No rank,338461959,2,42.765.137,106.912.841,213.825.683,106.912.841,42.765.137,0,2024-01-19,2.138.256.826,16937934,44.0
01,879,2135423337,Mad,226,warrior,287,After Rain, ,98,63,No rank,No rank,No rank,32832263,23,42.708.467,106.771.167,213.542.334,106.771.167,42.708.467,0,2024-01-19,2.135.423.337,19771423,51.4
32,880,2134799248,Modric,226,warrior,283, , ,71,49,No rank,No rank,No rank,0,0,42.695.985,106.739.962,213.479.925,106.739.962,42.695.985,0,2024-01-19,2.134.799.248,20395512,53.0
35,881,2134202146,Fast,226,wizard,299,Br Comanda, ,52,23,75,36,No rank,17502651,7,42.684.043,106.710.107,213.420.215,106.710.107,42.684.043,0,2024-01-19,2.134.202.146,20992614,54.6
32,882,2132937111,Ixvxl,226,wizard,333,Javanesse, ,72,23,No rank,55,No rank,316044660,3,42.658.742,106.646.856,213.293.711,106.646.856,42.658.742,0,2024-01-19,2.132.937.111,22257649,57.8
32,883,2132828719,Blackjacks,226,wizard,281,Zombi Slay, ,73,24,No rank,No rank,No rank,40108945,13,42.656.574,106.641.436,213.282.872,106.641.436,42.656.574,0,2024-01-19,2.132.828.719,22366041,58.1
37,884,2131276203,Venon,226,wizard,414,B L I T Z, ,57,20,17,4,No rank,27759629,4,42.625.524,106.563.810,213.127.620,106.563.810,42.625.524,0,2024-01-19,2.131.276.203,23918557,62.2
36,885,2131042038,Mrtornado,226,warrior,317,Est2021, ,61,40,85,56,No rank,17862408,8,42.620.841,106.552.102,213.104.204,106.552.102,42.620.841,0,2024-01-19,2.131.042.038,24152722,62.8
01,886,2130740141,Hardwiz,226,wizard,214,The Best, ,99,36,No rank,No rank,No rank,0,0,42.614.803,106.537.007,213.074.014,106.537.007,42.614.803,0,2024-01-19,2.130.740.141,24454619,63.5
11,887,2129956256,Valkrie,226,wizard,337,Holy Nitro, ,No rank,42,No rank,60,No rank,35234136,18,42.599.125,106.497.813,212.995.626,106.497.813,42.599.125,0,2024-01-19,2.129.956.256,25238504,65.6
11,888,2129505457,Bossquee,226,warrior,317,K O L E R, ,No rank,66,No rank,No rank,No rank,40214931,15,42.590.109,106.475.273,212.950.546,106.475.273,42.590.109,0,2024-01-19,2.129.505.457,25689303,66.8
15,889,2129251961,Rainz,226,warrior,299,Rip W10, ,79,59,No rank,No rank,No rank,878458572,1,42.585.039,106.462.598,212.925.196,106.462.598,42.585.039,0,2024-01-19,2.129.251.961,25942799,67.4
11,890,2128692871,Legendxa,226,wizard,315,Legendary1, ,No rank,43,No rank,91,No rank,6099433,63,42.573.857,106.434.644,212.869.287,106.434.644,42.573.857,0,2024-01-19,2.128.692.871,26501889,68.9
23,891,2127278323,Weizlins,226,wizard,366,P E A C E, ,58,21,54,18,No rank,41404016,13,42.545.566,106.363.916,212.727.832,106.363.916,42.545.566,0,2024-01-19,2.127.278.323,27916437,72.5
11,892,2125084633,Bankmeow,226,wizard,304, , ,No rank,44,No rank,No rank,No rank,0,0,42.501.693,106.254.232,212.508.463,106.254.232,42.501.693,0,2024-01-19,2.125.084.633,30110127,78.2
01,893,2124992207,Inferno,226,warrior,297,Dead End, ,100,64,No rank,No rank,No rank,21901493,35,42.499.844,106.249.610,212.499.221,106.249.610,42.499.844,0,2024-01-19,2.124.992.207,30202553,78.5
09,894,2123898076,Royz,226,warrior,295,Tajudien, ,47,34,No rank,No rank,No rank,3531562,61,42.477.962,106.194.904,212.389.808,106.194.904,42.477.962,0,2024-01-19,2.123.898.076,31296684,81.3
01,895,2123354581,Nezhumi,226,warrior,178,T6tiau, ,No rank,65,No rank,No rank,No rank,33030886,22,42.467.092,106.167.729,212.335.458,106.167.729,42.467.092,0,2024-01-19,2.123.354.581,31840179,82.7
