World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank,In Arena,PVP Premium,PVP Free,Insurance 50%,Insurance 80%,Insurance 100%,Date Today,Exp Points,Exp to Up,% to Up,ExpPoints Difference
36,1,16454540230,Binance,381,warrior,461,Damai, ,1,1,2,2,No rank,12028180,16,349090805,872727012,1745454023,872727012,349090805,0,2024-01-19,17454540230,14377080,7.8,0
37,2,15698088786,Odon,371,warrior,468,Top Gun, ,1,1,6,5,No rank,7741777,15,313961776,784904439,1569808879,784904439,313961776,0,2024-01-19,15698088786,5602924,3.3,0
34,3,14667317972,Olivia,365,warrior,383, , ,1,1,15,10,No rank,0,0,293346359,733365899,1466731797,733365899,293346359,0,2024-01-19,14667317972,43609178,26.9,0
2,4,14147333236,Aveee,362,warrior,416,Gothsterz, ,1,1,20,13,No rank,859851517,1,282946665,707366662,1414733324,707366662,282946665,0,2024-01-19,14147333236,85247004,53.9,0
34,5,13485055802,Chicia,358,wizard,464,Icecreams, ,2,1,4,3,No rank,1893012,27,269701116,674252790,1348505580,674252790,269701116,0,2024-01-19,13485055802,127990858,83.7,0
35,6,11921560552,Jco,347,warrior,439,New Star, ,1,1,6,4,No rank,544357335,1,238431211,596078028,1192156055,596078028,238431211,0,2024-01-19,11921560552,91846638,65.9,0
35,7,11218364681,Ac,342,warrior,497, , ,2,2,2,2,No rank,0,0,224367294,560918234,1121836468,560918234,224367294,0,2024-01-19,11218364681,116519659,87.4,0
32,8,10164515411,Smokewar,333,warrior,354,Solo Army, ,1,1,85,57,No rank,338461959,2,203290308,508225771,1016451541,508225771,203290308,0,2024-01-19,10164515411,21933499,17.8,0
15,9,10015583523,Dubaii,332,wizard,411,Deadlysinz, ,1,1,32,11,No rank,36420969,17,200311670,500779176,1001558352,500779176,200311670,0,2024-01-19,10015583523,48878617,40.1,0
23,10,9296915439,Gothsterz,326,warrior,582,Lunaticos, ,1,1,1,1,No rank,268123295,2,185938309,464845772,929691544,464845772,185938309,0,2024-01-19,9296915439,58472821,50.6,0
11,11,9218209081,Jay,325,warrior,329,Holy Nitro, ,1,1,No rank,No rank,No rank,35234136,18,184364182,460910454,921820908,460910454,184364182,0,2024-01-19,9218209081,22746669,19.9,0
1,12,9214113394,Queza,325,warrior,385,Suicide Sq, ,1,1,52,31,No rank,0,0,184282268,460705670,921411339,460705670,184282268,0,2024-01-19,9214113394,26842356,23.5,0
1,13,9212002474,King,325,wizard,285,The Best, ,2,1,No rank,No rank,No rank,0,0,184240049,460600124,921200247,460600124,184240049,0,2024-01-19,9212002474,28953276,25.3,0
36,14,8999183194,Wolfman,323,warrior,382,Princess, ,2,2,22,12,No rank,111321691,2,179983664,449959160,899918319,449959160,179983664,0,2024-01-19,8999183194,16060116,14.3,0
2,15,8907149275,Avee,323,warrior,353,Gothsterz, ,2,2,65,43,No rank,859851517,1,178142986,445357464,890714928,445357464,178142986,0,2024-01-19,8907149275,108094035,96.2,0
36,16,8869354492,Bt,322,warrior,453,Princess, ,3,3,3,3,No rank,111321691,2,177387090,443467725,886935449,443467725,177387090,0,2024-01-19,8869354492,34595948,31.1,0
2,17,8749651539,Pattriick,321,warrior,476,Dream Team, ,3,3,8,6,No rank,186655044,4,174993031,437482577,874965154,437482577,174993031,0,2024-01-19,8749651539,44039671,39.9,0
35,18,8523211923,Hefestuus,319,wizard,252,Guardioes, ,3,1,No rank,65,No rank,3750748,18,170464238,426160596,852321192,426160596,170464238,0,2024-01-19,8523211923,53036087,49.0,0
33,19,8474292816,Emizuno,319,wizard,428,E Class, ,1,1,21,9,No rank,38334335,6,169485856,423714641,847429282,423714641,169485856,0,2024-01-19,8474292816,101955194,94.2,0
9,20,8419089476,Maddina,318,warrior,327,Edc, ,1,1,93,49,No rank,1683232,79,168381790,420954474,841908948,420954474,168381790,0,2024-01-19,8419089476,49961784,46.6,0
23,21,8257243927,Tje,316,warrior,384,Handler0ne, ,2,2,36,27,No rank,2743451,62,165144879,412862196,825724393,412862196,165144879,0,2024-01-19,8257243927,431733,0.4,0
37,22,8038637101,Xenojiva,314,warrior,476,H Y D R A, ,2,2,4,3,No rank,81994266,3,160772742,401931855,803863710,401931855,160772742,0,2024-01-19,8038637101,11644659,11.3,0
23,23,7756998753,Omvito,312,warrior,413,Big Family, ,3,3,16,10,No rank,4117480,48,155139975,387849938,775699875,387849938,155139975,0,2024-01-19,7756998753,89820487,88.7,0
11,24,7701384217,Lietuwa,311,warrior,433,L T U,10,2,2,15,9,45,225017120,2,154027684,385069211,770138422,385069211,154027684,0,2024-01-19,7701384217,45162393,45.0,0
7,25,7625946410,Wulan,310,warrior,418,Life Alone, ,1,1,10,7,No rank,192421753,2,152518928,381297320,762594641,381297320,152518928,0,2024-01-19,7625946410,21291690,21.4,0
11,26,7376104399,Yumi,308,warrior,383,Holy Nitro, ,3,3,62,35,No rank,35234136,18,147522088,368805220,737610440,368805220,147522088,0,2024-01-19,7376104399,75384261,77.4,0
1,27,7252816193,Goldza,306,wizard,313,Suicide Sq, ,3,2,No rank,73,No rank,0,0,145056324,362640810,725281619,362640810,145056324,0,2024-01-19,7252816193,6705367,7.0,0
15,28,7229976552,Floryna,306,warrior,425,Hell Gate, ,2,1,19,13,No rank,14353668,31,144599531,361498828,722997655,361498828,144599531,0,2024-01-19,7229976552,29545008,30.9,0
2,29,7083521941,Avex,305,warrior,458,Gothsterz, ,4,4,10,7,No rank,859851517,1,141670439,354176097,708352194,354176097,141670439,0,2024-01-19,7083521941,81419109,86.1,0
15,30,6934039295,Captnfz,303,warrior,414,Y O U,20,3,2,30,20,2,396899359,3,138680786,346701965,693403930,346701965,138680786,0,2024-01-19,6934039295,44516315,48.0,0
15,31,6795269663,Powerwizz,301,wizard,306,Deadlysinz, ,4,2,No rank,91,No rank,36420969,17,135905393,339763483,679526966,339763483,135905393,0,2024-01-19,6795269663,560847,0.6,0
36,32,6708433547,Xtroyz,301,warrior,333,Damai, ,4,4,64,46,No rank,12028180,16,134168671,335421677,670843355,335421677,134168671,0,2024-01-19,6708433547,87396963,96.1,0
33,33,6687083528,Newlife,300,wizard,376,Texas, ,2,2,44,17,No rank,548214731,1,133741671,334354176,668708353,334354176,133741671,0,2024-01-19,6687083528,18741972,20.8,0
36,34,6683065383,Wolfmann,300,warrior,418,Princess, ,5,5,11,8,No rank,111321691,2,133661308,334153269,668306538,334153269,133661308,0,2024-01-19,6683065383,22760117,25.3,0
7,35,6588720200,Nightmare,299,warrior,321,Th3 Army, ,2,2,75,47,No rank,7985724,41,131774404,329436010,658872020,329436010,131774404,0,2024-01-19,6588720200,27997310,31.4,0
23,36,6587459553,Batamkingz,299,warrior,382,Enjoy, ,4,4,37,28,No rank,194635315,3,131749191,329372978,658745955,329372978,131749191,0,2024-01-19,6587459553,29257957,32.8,0
2,37,6533903418,Destroyers,299,warrior,351,Dream Team, ,5,5,67,45,No rank,186655044,4,130678068,326695171,653390342,326695171,130678068,0,2024-01-19,6533903418,82814092,92.9,0
33,38,6497755748,Siuoxing,298,wizard,352,8 Dewa,0,3,3,53,21,14,156051651,2,129955115,324887787,649775575,324887787,129955115,0,2024-01-19,6497755748,30744812,34.9,0
37,39,6358838394,Mahadewa,297,wizard,382,B L U E, ,3,1,29,12,No rank,243342,95,127176768,317941920,635883839,317941920,127176768,0,2024-01-19,6358838394,82330296,94.3,0
1,40,6331771865,Ibiz,296,warrior,331,Suicide Sq, ,4,2,No rank,79,No rank,0,0,126635437,316588593,633177186,316588593,126635437,0,2024-01-19,6331771865,22944095,26.5,0
33,41,6286347705,Agods,296,warrior,564,Texas, ,4,1,1,1,No rank,548214731,1,125726954,314317385,628634770,314317385,125726954,0,2024-01-19,6286347705,68368255,79.1,0
35,42,6267054704,Disney,295,warrior,358,New Star, ,4,3,28,14,No rank,544357335,1,125341094,313352735,626705470,313352735,125341094,0,2024-01-19,6267054704,2081746,2.4,0
32,43,6186093552,Elsmokey,295,warrior,415,Solo Army, ,2,2,25,16,No rank,338461959,2,123721871,309304678,618609355,309304678,123721871,0,2024-01-19,6186093552,83042898,97.0,0
36,44,6183824829,Yj,294,warrior,397,Damai, ,6,6,19,11,No rank,12028180,16,123676497,309191241,618382483,309191241,123676497,0,2024-01-19,6183824829,599431,0.7,0
34,45,6110613939,Donvito,294,warrior,314,Kgb, ,3,2,50,36,No rank,715785,48,122212279,305530697,611061394,305530697,122212279,0,2024-01-19,6110613939,73810321,87.1,0
23,46,6020900609,Zhun,293,wizard,340,Lunaticos, ,5,1,88,31,No rank,268123295,2,120418012,301045030,602090061,301045030,120418012,0,2024-01-19,6020900609,79672901,95.0,0
36,47,5936521907,Btt,292,wizard,403,Princess, ,7,1,16,7,No rank,111321691,2,118730438,296826095,593652191,296826095,118730438,0,2024-01-19,5936521907,81056433,97.7,0
33,48,5851976455,Beethoven,290,wizard,439,Texas, ,5,4,15,5,No rank,548214731,1,117039529,292598823,585197646,292598823,117039529,0,2024-01-19,5851976455,2154945,2.7,0
34,49,5821990794,Thuanvisad,290,warrior,297, , ,4,3,59,42,No rank,0,0,116439816,291099540,582199079,291099540,116439816,0,2024-01-19,5821990794,32140606,39.5,0
2,50,5785940224,Dreikmito,290,warrior,456,Brazil Top, ,6,6,12,8,No rank,277979883,3,115718804,289297011,578594022,289297011,115718804,0,2024-01-19,5785940224,68191176,83.9,0
36,51,5723638797,Blvcklist,289,wizard,406,Princess, ,8,2,14,6,No rank,111321691,2,114472776,286181940,572363880,286181940,114472776,0,2024-01-19,5723638797,50029213,62.2,0
37,52,5691992332,Barracuda,288,warrior,345,Beast Mode, ,4,3,51,32,No rank,193647090,1,113839847,284599617,569199233,284599617,113839847,0,2024-01-19,5691992332,2044628,2.6,0
33,53,5657508833,Heaven,288,warrior,327,Texas, ,6,2,83,52,No rank,548214731,1,113150177,282875442,565750883,282875442,113150177,0,2024-01-19,5657508833,36528127,45.9,0
33,54,5585087282,Ngui,287,wizard,452, ,15,7,5,7,1,16,0,0,111701746,279254364,558508728,279254364,111701746,0,2024-01-19,5585087282,30145208,38.3,0
7,55,5560245496,Wixvstar,287,warrior,335,D3stroy3rz, ,3,3,53,32,No rank,47950965,18,111204910,278012275,556024550,278012275,111204910,0,2024-01-19,5560245496,54986994,69.8,0
33,56,5531796278,Moonlife,286,wizard,415,Venice, ,8,6,24,10,No rank,4161950,37,110635926,276589814,553179628,276589814,110635926,0,2024-01-19,5531796278,5452582,7.0,0
34,57,5528731834,Ery,286,warrior,477, , ,5,4,1,1,No rank,0,0,110574637,276436592,552873183,276436592,110574637,0,2024-01-19,5528731834,8517026,10.9,0
15,58,5525426655,Aladin,286,warrior,421,Deadlysinz, ,5,3,21,14,No rank,36420969,17,110508533,276271333,552542666,276271333,110508533,0,2024-01-19,5525426655,11822205,15.2,0
35,59,5524758673,Mrevill,286,warrior,374,New Star, ,5,4,20,10,No rank,544357335,1,110495173,276237934,552475867,276237934,110495173,0,2024-01-19,5524758673,12490187,16.0,0
37,60,5511424604,Fi,286,warrior,268,Beast Mode, ,5,4,No rank,No rank,No rank,193647090,1,110228492,275571230,551142460,275571230,110228492,0,2024-01-19,5511424604,25824256,33.1,0
1,61,5489419246,Draxton,286,warrior,427,W I N E, ,5,3,23,12,No rank,0,0,109788385,274470962,548941925,274470962,109788385,0,2024-01-19,5489419246,47829614,61.3,0
36,62,5454319353,Sun,285,warrior,467,Sun Shine, ,9,7,1,1,No rank,16608688,9,109086387,272715968,545431935,272715968,109086387,0,2024-01-19,5454319353,5760997,7.5,0
1,63,5404094381,Ibizzz,285,warrior,363,Suicide Sq, ,6,4,73,43,No rank,0,0,108081888,270204719,540409438,270204719,108081888,0,2024-01-19,5404094381,55985969,72.6,0
37,64,5354688624,Iceman,284,warrior,319, , ,6,5,73,44,No rank,0,0,107093772,267734431,535468862,267734431,107093772,0,2024-01-19,5354688624,29032636,38.0,0
32,65,5340671543,Friends,284,warrior,318,Militaryw8, ,3,3,No rank,No rank,No rank,115005099,6,106813431,267033577,534067154,267033577,106813431,0,2024-01-19,5340671543,43049717,56.4,0
36,66,5320310916,Ohlwanlaa,284,warrior,289,Alcatraz, ,10,8,No rank,76,No rank,3956790,30,106406218,266015546,532031092,266015546,106406218,0,2024-01-19,5320310916,63410344,83.0,0
1,67,5315293629,Microboy,284,wizard,451,W I N E, ,7,3,13,6,No rank,0,0,106305873,265764681,531529363,265764681,106305873,0,2024-01-19,5315293629,68427631,89.6,0
33,68,5308490739,Fairy,284,wizard,333,Main Land,0,9,7,76,28,5,8219455,19,106169815,265424537,530849074,265424537,106169815,0,2024-01-19,5308490739,75230521,98.5,0
2,69,5289747657,Maling,283,wizard,304,Dream Team, ,7,1,No rank,62,No rank,186655044,4,105794953,264487383,528974766,264487383,105794953,0,2024-01-19,5289747657,18418253,24.4,0
2,70,5223634148,Aleksandre,282,warrior,518,Gothsterz, ,8,7,3,3,No rank,859851517,1,104472683,261181707,522363415,261181707,104472683,0,2024-01-19,5223634148,9774492,13.1,0
34,71,5202526623,Snolled,282,warrior,369,Red Cherry, ,6,5,21,15,No rank,2049904,25,104050532,260126331,520252662,260126331,104050532,0,2024-01-19,5202526623,30882017,41.3,0
11,72,5188655340,Ramjons,282,warrior,325,Holy Nitro, ,4,4,No rank,No rank,No rank,35234136,18,103773107,259432767,518865534,259432767,103773107,0,2024-01-19,5188655340,44753300,59.9,0
15,73,5165574204,Shinsei,282,warrior,380,Hell Gate, ,6,4,56,32,No rank,14353668,31,103311484,258278710,516557420,258278710,103311484,0,2024-01-19,5165574204,67834436,90.7,0
33,74,5149102816,iVTEC,281,warrior,386,The Prayer, ,10,3,37,22,No rank,34317780,8,102982056,257455141,514910282,257455141,102982056,0,2024-01-19,5149102816,10340994,14.0,0
11,75,5136424690,Baobei,281,warrior,363,Holy Nitro, ,5,5,97,56,No rank,35234136,18,102728494,256821234,513642469,256821234,102728494,0,2024-01-19,5136424690,23019120,31.1,0
2,76,5105871273,Sharingan,281,wizard,334,Pau Mole, ,9,2,92,35,No rank,0,0,102117425,255293564,510587127,255293564,102117425,0,2024-01-19,5105871273,53572537,72.4,0
36,77,5105494049,Kv,281,warrior,341,Damai, ,11,9,56,40,No rank,12028180,16,102109881,255274702,510549405,255274702,102109881,0,2024-01-19,5105494049,53949761,72.9,0
15,78,5078558293,Powerful,280,warrior,467, , ,7,5,10,7,No rank,0,0,101571166,253927915,507855829,253927915,101571166,0,2024-01-19,5078558293,7707507,10.5,0
36,79,5045483109,Btz,280,warrior,430,Princess, ,12,10,8,7,No rank,111321691,2,100909662,252274155,504548311,252274155,100909662,0,2024-01-19,5045483109,40782691,55.7,0
35,80,5043022833,Onlyone,280,warrior,252,New Star, ,6,5,No rank,74,No rank,544357335,1,100860457,252151142,504302283,252151142,100860457,0,2024-01-19,5043022833,43242967,59.1,0
11,81,5038992914,Dexsyer,280,warrior,342,Lovenlive, ,6,6,No rank,79,No rank,438317429,1,100779858,251949646,503899291,251949646,100779858,0,2024-01-19,5038992914,47272886,64.6,0
9,82,5038657652,Faaz,280,warrior,278,S W A T,20,2,2,No rank,No rank,8,25787976,23,100773153,251932883,503865765,251932883,100773153,0,2024-01-19,5038657652,47608148,65.1,0
1,83,5028753167,Thekingleo,280,warrior,385,Game Over, ,8,5,51,30,No rank,91231635,10,100575063,251437658,502875317,251437658,100575063,0,2024-01-19,5028753167,57512633,78.6,0
34,84,5013118313,Rainie,279,wizard,289,Icecreams, ,7,2,67,21,No rank,1893012,27,100262366,250655916,501311831,250655916,100262366,0,2024-01-19,5013118313,750697,1.0,0
37,85,4972995491,Fii,279,wizard,325,Beast Mode, ,7,2,67,27,No rank,193647090,1,99459910,248649775,497299549,248649775,99459910,0,2024-01-19,4972995491,40873519,56.5,0
35,86,4970985852,Fleura,279,warrior,360,New Star, ,7,6,27,11,No rank,544357335,1,99419717,248549293,497098585,248549293,99419717,0,2024-01-19,4970985852,42883158,59.2,0
1,87,4933195886,Keko,278,wizard,241,The Best, ,9,4,No rank,No rank,No rank,0,0,98663918,246659794,493319589,246659794,98663918,0,2024-01-19,4933195886,9051974,12.6,0
1,88,4925880358,Kmor,278,warrior,419,After Rain, ,10,6,28,16,No rank,32832263,23,98517607,246294018,492588036,246294018,98517607,0,2024-01-19,4925880358,16367502,22.9,0
37,89,4924938702,Nextboomzz,278,warrior,351,H Y D R A, ,8,6,43,27,No rank,81994266,3,98498774,246246935,492493870,246246935,98498774,0,2024-01-19,4924938702,17309158,24.2,0
7,90,4890670688,Furywiz,278,wizard,294,L3g3ndary, ,4,1,No rank,53,No rank,34238929,19,97813414,244533534,489067069,244533534,97813414,0,2024-01-19,4890670688,51577172,72.0,0
2,91,4856336547,Strainnn,277,warrior,307,Gothsterz, ,10,8,No rank,90,No rank,859851517,1,97126731,242816827,485633655,242816827,97126731,0,2024-01-19,4856336547,15060243,21.3,0
37,92,4855773167,Legendxb,277,warrior,434, , ,9,7,12,10,No rank,0,0,97115463,242788658,485577317,242788658,97115463,0,2024-01-19,4855773167,15623623,22.1,0
34,93,4839861751,Ladyyim,277,warrior,435,Reverse, ,8,6,7,4,No rank,429132582,1,96797235,241993088,483986175,241993088,96797235,0,2024-01-19,4839861751,31535039,44.5,0
33,94,4823691910,Hyuse,277,warrior,450,The Prayer, ,11,4,9,8,No rank,34317780,8,96473838,241184596,482369191,241184596,96473838,0,2024-01-19,4823691910,47704880,67.3,0
15,95,4812820493,Powerfuly,277,warrior,327, , ,8,6,No rank,No rank,No rank,0,0,96256410,240641025,481282049,240641025,96256410,0,2024-01-19,4812820493,58576297,82.7,0
1,96,4800644030,Helios,276,warrior,256,W I N E, ,11,7,No rank,No rank,No rank,0,0,96012881,240032202,480064403,240032202,96012881,0,2024-01-19,4800644030,666230,1.0,0
1,97,4794521750,Jackdaniel,276,warrior,313,After Rain, ,12,8,No rank,No rank,No rank,32832263,23,95890435,239726088,479452175,239726088,95890435,0,2024-01-19,4794521750,6788510,9.7,0
36,98,4777151219,Btr,276,wizard,425,Princess, ,13,3,10,3,No rank,111321691,2,95543024,238857561,477715122,238857561,95543024,0,2024-01-19,4777151219,24159041,34.5,0
23,99,4745179197,Qzlxl,276,warrior,417,P E A C E, ,6,5,15,9,No rank,41404016,13,94903584,237258960,474517920,237258960,94903584,0,2024-01-19,4745179197,56131063,80.1,0
34,100,4679763444,Ry,275,wizard,270, , ,9,3,89,32,No rank,0,0,93595269,233988172,467976344,233988172,93595269,0,2024-01-19,4679763444,52219306,75.3,0
1,101,4671835015,Jenderal,275,warrior,373,Sri Gala, ,13,9,60,36,No rank,102755498,9,93436700,233591751,467183502,233591751,93436700,0,2024-01-19,4671835015,60147735,86.8,0
35,102,4670895916,Kirrito,275,warrior,305,Guardioes, ,8,7,66,34,No rank,3750748,18,93417918,233544796,467089592,233544796,93417918,0,2024-01-19,4670895916,61086834,88.1,0
1,103,4642055101,Kairiz,274,wizard,361,Suicide Sq, ,14,5,75,31,No rank,0,0,92841102,232102755,464205510,232102755,92841102,0,2024-01-19,4642055101,21353659,31.1,0
2,104,4640481198,Xvdrz,274,warrior,355,Ai Migos, ,11,9,63,41,No rank,0,0,92809624,232024060,464048120,232024060,92809624,0,2024-01-19,4640481198,22927562,33.4,0
33,105,4640238617,Lakers,274,warrior,323,The Prayer, ,12,5,88,58,No rank,34317780,8,92804772,232011931,464023862,232011931,92804772,0,2024-01-19,4640238617,23170143,33.8,0
32,106,4611823455,Mfourc,274,warrior,290,Javanesse,5,4,4,No rank,No rank,81,316044660,3,92236469,230591173,461182346,230591173,92236469,0,2024-01-19,4611823455,51585305,75.2,0
1,107,4603986205,Kingleo,274,wizard,338,Game Over, ,15,6,No rank,45,No rank,91231635,10,92079724,230199310,460398620,230199310,92079724,0,2024-01-19,4603986205,59422555,86.7,0
11,108,4544507265,Love,273,wizard,509,Lovenlive, ,7,1,2,2,No rank,438317429,1,90890145,227225363,454450726,227225363,90890145,0,2024-01-19,4544507265,51075545,75.3,0
11,109,4523869478,Yonko,272,warrior,421,Holy Nitro, ,8,7,20,13,No rank,35234136,18,90477390,226193474,452386948,226193474,90477390,0,2024-01-19,4523869478,4629962,6.9,0
33,110,4522285766,Emizune,272,wizard,309,E Class, ,13,8,No rank,38,No rank,38334335,6,90445715,226114288,452228577,226114288,90445715,0,2024-01-19,4522285766,6213674,9.3,0
23,111,4494521937,Kingmans,272,warrior,313,L O V E R, ,7,6,No rank,93,No rank,12750913,32,89890439,224726097,449452194,224726097,89890439,0,2024-01-19,4494521937,33977503,50.6,0
1,112,4462316949,Batavia,272,warrior,332,W I N E, ,16,10,No rank,78,No rank,0,0,89246339,223115847,446231695,223115847,89246339,0,2024-01-19,4462316949,66182491,98.7,0
37,113,4450572806,Apak,271,wizard,403, , ,10,3,20,6,No rank,0,0,89011456,222528640,445057281,222528640,89011456,0,2024-01-19,4450572806,11580404,17.5,0
33,114,4401429425,Odading,271,warrior,511,8 Dewa,15,14,6,4,4,15,156051651,2,88028588,220071471,440142942,220071471,88028588,0,2024-01-19,4401429425,60723785,91.5,0
1,115,4366534036,Hanma,270,warrior,280,T6tiau, ,17,11,No rank,No rank,No rank,33030886,22,87330681,218326702,436653404,218326702,87330681,0,2024-01-19,4366534036,30004664,45.7,0
36,116,4358442983,Fernandez,270,warrior,327, , ,14,11,72,50,No rank,0,0,87168860,217922149,435844298,217922149,87168860,0,2024-01-19,4358442983,38095717,58.1,0
32,117,4342641262,Smokewiz,270,wizard,374,Solo Army, ,5,1,58,16,No rank,338461959,2,86852825,217132063,434264126,217132063,86852825,0,2024-01-19,4342641262,53897438,82.1,0
1,118,4341610371,Kingangry,270,wizard,195,The Best, ,18,7,No rank,No rank,No rank,0,0,86832207,217080519,434161037,217080519,86832207,0,2024-01-19,4341610371,54928329,83.7,0
32,119,4341138222,Jeixy,270,warrior,451,90s, ,6,5,11,7,No rank,8389414,45,86822764,217056911,434113822,217056911,86822764,0,2024-01-19,4341138222,55400478,84.4,0
9,120,4340649359,Exhausted,270,wizard,331,D A M A I, ,3,1,85,40,No rank,96204444,6,86812987,217032468,434064936,217032468,86812987,0,2024-01-19,4340649359,55889341,85.2,0
15,121,4336286544,Bybee,270,warrior,263,Deadlysinz, ,9,7,No rank,No rank,No rank,36420969,17,86725731,216814327,433628654,216814327,86725731,0,2024-01-19,4336286544,60252156,91.8,0
37,122,4334414200,Baerchi,270,warrior,384,Full House, ,11,8,28,18,No rank,6162444,16,86688284,216720710,433441420,216720710,86688284,0,2024-01-19,4334414200,62124500,94.7,0
1,123,4333550890,Heiniken,270,wizard,395,W I N E, ,19,8,41,19,No rank,0,0,86671018,216677544,433355089,216677544,86671018,0,2024-01-19,4333550890,62987810,96.0,0
11,124,4315003918,Viv,269,warrior,343,Lovenlive, ,9,8,No rank,77,No rank,438317429,1,86300078,215750196,431500392,215750196,86300078,0,2024-01-19,4315003918,16646592,25.7,0
33,125,4306672016,Machau,269,warrior,559,Texas, ,15,7,2,2,No rank,548214731,1,86133440,215333601,430667202,215333601,86133440,0,2024-01-19,4306672016,24978494,38.5,0
15,126,4302216823,Khalaf,269,wizard,414,Deadlysinz, ,10,3,29,9,No rank,36420969,17,86044336,215110841,430221682,215110841,86044336,0,2024-01-19,4302216823,29433687,45.4,0
34,127,4288445158,Musashi,269,warrior,437,Reverse, ,10,7,6,3,No rank,429132582,1,85768903,214422258,428844516,214422258,85768903,0,2024-01-19,4288445158,43205352,66.6,0
1,128,4281835164,Braxton,269,warrior,349,W I N E, ,20,12,88,53,No rank,0,0,85636703,214091758,428183516,214091758,85636703,0,2024-01-19,4281835164,49815346,76.8,0
1,129,4279089876,Tarun,269,warrior,279,After Rain, ,21,13,No rank,No rank,No rank,32832263,23,85581798,213954494,427908988,213954494,85581798,0,2024-01-19,4279089876,52560634,81.0,0
2,130,4258703221,Guitar,268,warrior,236,Avatar War, ,12,10,No rank,No rank,No rank,566030220,2,85174064,212935161,425870322,212935161,85174064,0,2024-01-19,4258703221,8780039,13.7,0
15,131,4247935419,Powerfull,268,warrior,320,Deadlysinz, ,11,8,No rank,No rank,No rank,36420969,17,84958708,212396771,424793542,212396771,84958708,0,2024-01-19,4247935419,19547841,30.5,0
2,132,4182534546,Tiobidy,267,warrior,381,R T F, ,13,11,39,28,No rank,45275170,11,83650691,209126727,418253455,209126727,83650691,0,2024-01-19,4182534546,21497044,33.9,0
9,133,4169858166,Rustez,267,warrior,310,New Born, ,4,3,No rank,78,No rank,43573161,13,83397163,208492908,416985817,208492908,83397163,0,2024-01-19,4169858166,34173424,53.9,0
11,134,4160788195,Ivory,267,wizard,293,Flyang3l, ,10,2,No rank,No rank,No rank,5002862,70,83215764,208039410,416078820,208039410,83215764,0,2024-01-19,4160788195,43243395,68.2,0
34,135,4157840065,Ladyyem,267,warrior,388,Reverse, ,11,8,11,6,No rank,429132582,1,83156801,207892003,415784006,207892003,83156801,0,2024-01-19,4157840065,46191525,72.8,0
2,136,4142802425,Alkogolik,267,wizard,329,Gothsterz, ,14,3,No rank,39,No rank,859851517,1,82856048,207140121,414280242,207140121,82856048,0,2024-01-19,4142802425,61229165,96.5,0
15,137,4111790866,Vyschalya,266,wizard,476, , ,12,4,7,2,No rank,0,0,82235817,205589543,411179087,205589543,82235817,0,2024-01-19,4111790866,29499294,47.0,0
2,138,4111766133,Expz,266,warrior,360,Gothsterz, ,15,12,59,38,No rank,859851517,1,82235323,205588307,411176613,205588307,82235323,0,2024-01-19,4111766133,29524027,47.1,0
23,139,4106540887,Marinee,266,warrior,451,P E A C E, ,8,7,5,3,No rank,41404016,13,82130818,205327044,410654089,205327044,82130818,0,2024-01-19,4106540887,34749273,55.4,0
34,140,4095737674,Feifei,266,warrior,242,X Reunion, ,12,9,No rank,86,No rank,49039657,5,81914753,204786884,409573767,204786884,81914753,0,2024-01-19,4095737674,45552486,72.6,0
23,141,4091235683,Arjuna,266,warrior,388,War 87, ,9,8,32,24,No rank,14803386,25,81824714,204561784,409123568,204561784,81824714,0,2024-01-19,4091235683,50054477,79.8,0
2,142,4072783732,Exploz,265,warrior,522,Thekillers, ,16,13,2,2,No rank,8612933,36,81455675,203639187,407278373,203639187,81455675,0,2024-01-19,4072783732,6469918,10.4,0
23,143,4070906744,Wehrwolf,265,wizard,295,Crusaders, ,10,2,No rank,79,No rank,530601559,1,81418135,203545337,407090674,203545337,81418135,0,2024-01-19,4070906744,8346906,13.5,0
15,144,4059382854,Mgsot,265,warrior,445,Deadlysinz, ,13,9,12,9,No rank,36420969,17,81187657,202969143,405938285,202969143,81187657,0,2024-01-19,4059382854,19870796,32.0,0
32,145,4056577884,Reixy,265,wizard,470,90s, ,7,2,4,2,No rank,8389414,45,81131558,202828894,405657788,202828894,81131558,0,2024-01-19,4056577884,22675766,36.6,0
2,146,4041689072,Grock,265,warrior,331,Dream Team, ,17,14,98,62,No rank,186655044,4,80833781,202084454,404168907,202084454,80833781,0,2024-01-19,4041689072,37564578,60.6,0
35,147,4036351045,Btc,265,wizard,339,Ekipa, ,9,2,38,18,No rank,2113649,30,80727021,201817552,403635104,201817552,80727021,0,2024-01-19,4036351045,42902605,69.2,0
2,148,4023312296,Fabiobr,265,warrior,294,Infinity, ,18,15,No rank,No rank,No rank,33476050,14,80466246,201165615,402331230,201165615,80466246,0,2024-01-19,4023312296,55941354,90.2,0
33,149,4013627283,Ezagna,264,warrior,382,L A N L A, ,16,8,40,25,No rank,113475823,3,80272546,200681364,401362728,200681364,80272546,0,2024-01-19,4013627283,4289477,7.0,0
9,150,3999948628,Giyu,264,warrior,394,D A M A I, ,5,4,16,9,No rank,96204444,6,79998973,199997431,399994863,199997431,79998973,0,2024-01-19,3999948628,17968132,29.3,0
