World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank
02,69,5289747657,Maling,283,wizard,304,Dream Team,0,7,1,0,62,0,186655044,4
02,70,5223634148,Aleksandre,282,warrior,518,Gothsterz,0,8,7,3,3,0,859851517,1
34,71,5202524318,Snolled,282,warrior,369,Red Cherry,0,6,5,21,15,0,2049904,25
11,72,5187955488,Ramjons,282,warrior,325,Holy Nitro,0,4,4,0,0,0,35234136,18
15,73,5164127107,Shinsei,282,warrior,380,Hell Gate,0,6,4,56,32,0,14353668,31
33,74,5147940810,iVTEC,281,warrior,386,The Prayer,0,10,3,37,22,0,34317780,8
11,75,5136424690,Baobei,281,warrior,363,Holy Nitro,0,5,5,94,55,0,35234136,18
02,76,5105871273,Sharingan,281,wizard,334,Pau Mole,0,9,2,92,35,0,0,0
36,77,5105451469,Kv,281,warrior,341,Damai,0,11,9,57,40,0,12028180,16
15,78,5078558293,Powerful,280,warrior,467, ,0,7,5,10,7,0,0,0
36,79,5045222587,Btz,280,warrior,430,Princess,0,12,10,8,7,0,111321691,2
35,80,5043022833,Onlyone,280,warrior,252,New Star,0,6,5,0,74,0,544357335,1
11,81,5038992914,Dexsyer,280,warrior,342,Lovenlive,0,6,6,0,79,0,438317429,1
09,82,5038657652,Faaz,280,warrior,278,S W A T,20,2,2,0,0,8,25787976,23
01,83,5028753167,Thekingleo,280,warrior,385,Game Over,0,8,5,51,30,0,91231635,10
34,84,5013102044,Rainie,279,wizard,289,Icecreams,0,7,2,67,21,0,1893012,27
37,85,4972995491,Fii,279,wizard,325,Beast Mode,0,7,2,67,27,0,193647090,1
35,86,4970978886,Fleura,279,warrior,360,New Star,0,7,6,27,11,0,544357335,1
01,87,4933195886,Keko,278,wizard,241,The Best,0,9,4,0,0,0,0,0
01,88,4925880358,Kmor,278,warrior,419,After Rain,0,10,6,28,16,0,32832263,23
37,89,4924938702,Nextboomzz,278,warrior,351,H Y D R A,0,8,6,43,27,0,81994266,3
07,90,4890670688,Furywiz,278,wizard,294,L3g3ndary,0,4,1,0,53,0,34238929,19
